         4770736 function calls (4687915 primitive calls) in 4.446 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    77912    0.006    0.000    0.006    0.000 {method 'append' of 'list' objects}
     2952    0.006    0.000    0.006    0.000 {method 'view' of 'torch._C.TensorBase' objects}
        1    0.005    0.005    0.005    0.005 {built-in method torch.sum}
  3260/20    0.005    0.000    0.823    0.041 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/torch/nn/modules/module.py:1513(_call_impl)
     3711    0.005    0.000    0.011    0.000 /usr/lib/python3.8/inspect.py:654(getfile)
      480    0.005    0.000    0.005    0.000 {built-in method torch.full}
      806    0.005    0.000    0.005    0.000 {method 'read' of '_io.BufferedReader' objects}
       20    0.005    0.000    0.821    0.041 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/models/gpt2/modeling_gpt2.py:743(forward)
      885    0.005    0.000    0.044    0.000 <frozen importlib._bootstrap>:890(_find_spec)
  5168/46    0.004    0.000    0.008    0.000 /usr/lib/python3.8/copy.py:128(deepcopy)
        1    0.004    0.004    1.784    1.784 /home/saibo/infrastructure/transformers-CFG-dev/transformers_cfg/token_grammar_recognizer.py:57(__init__)
    53341    0.004    0.000    0.004    0.000 {method 'pop' of 'dict' objects}
       20    0.004    0.000    0.004    0.000 {method 'max' of 'torch._C.TensorBase' objects}
   265/39    0.004    0.000    0.012    0.000 /usr/lib/python3.8/sre_parse.py:493(_parse)
     6032    0.004    0.000    0.009    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/sympy/multipledispatch/conflict.py:12(consistent)
        2    0.004    0.002    0.004    0.002 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/models/gpt2/tokenization_gpt2.py:183(<dictcomp>)
    52685    0.004    0.000    0.004    0.000 {method 'items' of 'dict' objects}
    51066    0.004    0.000    0.004    0.000 {method 'extend' of 'list' objects}
      806    0.004    0.000    0.080    0.000 <frozen importlib._bootstrap_external>:914(get_code)
      960    0.004    0.000    0.043    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/pytorch_utils.py:100(forward)
    50343    0.004    0.000    0.004    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/utils/import_utils.py:258(is_torch_available)
      113    0.004    0.000    0.133    0.001 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/torch/nn/modules/module.py:1953(_load_from_state_dict)
    28316    0.004    0.000    0.004    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/sympy/core/assumptions.py:489(as_property)
    50263    0.004    0.000    0.004    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/utils/import_utils.py:421(is_tf_available)
        2    0.003    0.002    0.004    0.002 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/models/gpt2/tokenization_gpt2.py:212(get_vocab)
    40216    0.003    0.000    0.003    0.000 {method 'get' of 'dict' objects}
