         103638405 function calls (93855135 primitive calls) in 46.707 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       96    0.005    0.000    0.019    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/models/gpt2/modeling_gpt2.py:182(_attn)
      198    0.005    0.000    0.005    0.000 {built-in method torch.cat}
     7638    0.005    0.000    0.006    0.000 /home/saibo/infrastructure/transformers-CFG-dev/transformers_cfg/recognizer.py:244(_consume_char_code_point_per_stack)
    59026    0.005    0.000    0.005    0.000 {built-in method builtins.id}
      884    0.005    0.000    0.044    0.000 <frozen importlib._bootstrap>:890(_find_spec)
      806    0.005    0.000    0.005    0.000 {method 'read' of '_io.BufferedReader' objects}
  5250/48    0.005    0.000    0.009    0.000 /usr/lib/python3.8/copy.py:128(deepcopy)
    42714    0.005    0.000    0.005    0.000 /home/saibo/infrastructure/transformers-CFG-dev/transformers_cfg/utils.py:20(intervals_intersect)
    53343    0.004    0.000    0.004    0.000 {method 'pop' of 'dict' objects}
   265/39    0.004    0.000    0.012    0.000 /usr/lib/python3.8/sre_parse.py:493(_parse)
    50263    0.004    0.000    0.004    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/utils/import_utils.py:421(is_tf_available)
        1    0.004    0.004    1.810    1.810 /home/saibo/infrastructure/transformers-CFG-dev/transformers_cfg/token_grammar_recognizer.py:57(__init__)
        2    0.004    0.002    0.004    0.002 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/models/gpt2/tokenization_gpt2.py:183(<dictcomp>)
     6032    0.004    0.000    0.009    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/sympy/multipledispatch/conflict.py:12(consistent)
      806    0.004    0.000    0.185    0.000 <frozen importlib._bootstrap_external>:914(get_code)
       96    0.004    0.000    0.004    0.000 {built-in method torch.tanh}
    50257    0.004    0.000    0.004    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/utils/import_utils.py:441(is_flax_available)
   1304/8    0.004    0.000    1.113    0.139 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/torch/nn/modules/module.py:1513(_call_impl)
    28316    0.004    0.000    0.004    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/sympy/core/assumptions.py:489(as_property)
    50331    0.004    0.000    0.004    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/utils/import_utils.py:258(is_torch_available)
    37448    0.004    0.000    0.004    0.000 {method 'add' of 'set' objects}
      191    0.004    0.000    0.060    0.000 /usr/lib/python3.8/dataclasses.py:807(_process_class)
     4715    0.004    0.000    0.004    0.000 {method 'match' of 're.Pattern' objects}
     5492    0.004    0.000    0.004    0.000 {built-in method __new__ of type object at 0x902780}
    40248    0.004    0.000    0.004    0.000 {method 'get' of 'dict' objects}
    37312    0.003    0.000    0.003    0.000 {built-in method _thread.get_ident}
      113    0.003    0.000    0.130    0.001 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/torch/nn/modules/module.py:1953(_load_from_state_dict)
      200    0.003    0.000    0.003    0.000 {built-in method torch.layer_norm}
     1612    0.003    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:354(cache_from_source)
       99    0.003    0.000   19.934    0.201 /home/saibo/infrastructure/transformers-CFG-dev/transformers_cfg/trie.py:99(get_token_acceptance)
       89    0.003    0.000    0.016    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/sympy/multipledispatch/conflict.py:27(<setcomp>)
    34489    0.003    0.000    0.003    0.000 {method 'discard' of 'set' objects}
      164    0.003    0.000    0.005    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/modeling_utils.py:566(<setcomp>)
        2    0.003    0.002    0.003    0.002 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/models/gpt2/tokenization_gpt2.py:212(get_vocab)
        2    0.003    0.002    0.543    0.272 /home/saibo/infrastructure/transformers-CFG-dev/transformers_cfg/mapping.py:10(get_mapping)
    17096    0.003    0.000    0.004    0.000 /usr/lib/python3.8/inspect.py:63(ismodule)
     6854    0.003    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
     1188    0.003    0.000    0.003    0.000 {method 'view' of 'torch._C.TensorBase' objects}
       99    0.003    0.000   27.832    0.281 /home/saibo/infrastructure/transformers-CFG-dev/transformers_cfg/token_grammar_recognizer.py:228(token_acceptance_for_stack)
     6854    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
 1374/167    0.003    0.000    0.006    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/torch/nn/modules/module.py:1824(state_dict)
      806    0.003    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1034(get_data)
       96    0.003    0.000    0.302    0.003 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/models/gpt2/modeling_gpt2.py:377(forward)
    34572    0.003    0.000    0.003    0.000 {method 'popleft' of 'collections.deque' objects}
     1497    0.003    0.000    0.005    0.000 /usr/lib/python3.8/functools.py:34(update_wrapper)
      288    0.003    0.000    0.003    0.000 {method 'copy' of 'dict' objects}
  978/141    0.003    0.000    0.706    0.005 <frozen importlib._bootstrap>:986(_find_and_load)
    11933    0.002    0.000    0.003    0.000 {method 'join' of 'str' objects}
    13051    0.002    0.000    0.003    0.000 {built-in method builtins.setattr}
      154    0.002    0.000    0.002    0.000 {built-in method posix.listdir}
2808/2805    0.002    0.000    0.005    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/torch/_dynamo/utils.py:844(is_safe_constant)
      299    0.002    0.000    0.003    0.000 {built-in method builtins.print}
