         26758727 function calls (26577491 primitive calls) in 16.583 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    50343    0.004    0.000    0.004    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/utils/import_utils.py:258(is_torch_available)
     7095    0.004    0.000    0.004    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/torch/nn/modules/module.py:1675(__getattr__)
    28316    0.004    0.000    0.004    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/sympy/core/assumptions.py:489(as_property)
      240    0.004    0.000    0.125    0.001 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/models/gpt2/modeling_gpt2.py:290(forward)
    40354    0.004    0.000    0.004    0.000 {method 'get' of 'dict' objects}
    50263    0.004    0.000    0.004    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/utils/import_utils.py:421(is_tf_available)
    50257    0.003    0.000    0.003    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/utils/import_utils.py:441(is_flax_available)
        2    0.003    0.002    0.600    0.300 /home/saibo/infrastructure/transformers-CFG-dev/transformers_cfg/mapping.py:10(get_mapping)
      113    0.003    0.000    0.122    0.001 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/torch/nn/modules/module.py:1953(_load_from_state_dict)
     5674    0.003    0.000    0.004    0.000 {built-in method __new__ of type object at 0x902780}
     1612    0.003    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:354(cache_from_source)
     4715    0.003    0.000    0.003    0.000 {method 'match' of 're.Pattern' objects}
      191    0.003    0.000    0.060    0.000 /usr/lib/python3.8/dataclasses.py:807(_process_class)
       89    0.003    0.000    0.016    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/sympy/multipledispatch/conflict.py:27(<setcomp>)
      164    0.003    0.000    0.005    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/modeling_utils.py:566(<setcomp>)
        1    0.003    0.003   12.973   12.973 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/generation/utils.py:2172(greedy_search)
        2    0.003    0.002    0.003    0.002 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/models/gpt2/tokenization_gpt2.py:212(get_vocab)
     1411    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
    17097    0.003    0.000    0.004    0.000 /usr/lib/python3.8/inspect.py:63(ismodule)
     6874    0.003    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
        3    0.003    0.001    0.003    0.001 {built-in method torch.cuda._get_device_properties}
     6874    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
    22854    0.003    0.000    0.006    0.000 {built-in method builtins.all}
 1374/167    0.003    0.000    0.006    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/torch/nn/modules/module.py:1824(state_dict)
       20    0.003    0.000    0.003    0.000 {built-in method torch.argmax}
     7967    0.003    0.000    0.004    0.000 {built-in method builtins.max}
      806    0.003    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1034(get_data)
  978/141    0.003    0.000    0.723    0.005 <frozen importlib._bootstrap>:986(_find_and_load)
     1497    0.003    0.000    0.005    0.000 /usr/lib/python3.8/functools.py:34(update_wrapper)
      154    0.003    0.000    0.003    0.000 {built-in method posix.listdir}
2809/2805    0.003    0.000    0.005    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/torch/_dynamo/utils.py:844(is_safe_constant)
    12089    0.003    0.000    0.003    0.000 {method 'join' of 'str' objects}
